TotalMolarFlow,FeedTemperature,ColumnRefluxRatio ,GlycerolMoleFraction
4.5,45,1.7875,0.449267294
4.5,45,1.875,0.449234823
4.5,45,1.9625,0.44920312
4.5,45,2.05,0.449172158
4.5,45,2.1375,0.449141912
4.5,45,2.225,0.44911236
4.5,45,2.3125,0.449083479
4.5,45,2.4,0.449055246
4.5,50,1.7,0.449403126
4.5,50,1.7875,0.449367567
4.5,50,1.875,0.449332783
4.5,50,1.9625,0.449298894
4.5,50,2.05,0.449265814
4.5,50,2.1375,0.449233518
4.5,50,2.225,0.449201979
4.5,50,2.3125,0.449171172
4.5,50,2.4,0.449141072
4.5,55,1.7,0.449513101
4.5,55,1.7875,0.44947511
4.5,55,1.875,0.449437908
4.5,55,1.9625,0.449401626
4.5,55,2.05,0.449366231
4.5,55,2.1375,0.449331693
4.5,55,2.225,0.449297983
4.5,55,2.3125,0.44926502
4.5,55,2.4,0.449232882
4.5,60,1.7,0.449631451
4.5,60,1.7875,0.449590676
4.5,60,1.875,0.449550766
4.5,60,1.9625,0.449511864
4.5,60,2.05,0.449473935
4.5,60,2.1375,0.449436944
4.5,60,2.225,0.449400859
4.5,60,2.3125,0.449365648
4.5,60,2.4,0.449331283
4.5,65,1.7,0.449758854
4.5,65,1.7875,0.44971503
4.5,65,1.875,0.449672152
4.5,65,1.9625,0.449630379
4.5,65,2.05,0.449589673
4.5,65,2.1375,0.449549996
4.5,65,2.225,0.449511312
4.5,65,2.3125,0.449473585
4.5,65,2.4,0.449436784
4.5,70,1.7,0.449896166
4.5,70,1.7875,0.44984901
4.5,70,1.875,0.449802876
4.5,70,1.9625,0.449757956
4.5,70,2.05,0.449714208
4.5,70,2.1375,0.449671588
4.5,70,2.225,0.449630057
4.5,70,2.3125,0.449589576
4.5,70,2.4,0.449550108
4.5,75,1.7,0.450069557
4.5,75,1.7875,0.450018936
4.5,75,1.875,0.449969365
4.5,75,1.9625,0.449921099
4.5,75,2.05,0.449874091
4.5,75,2.1375,0.4498283
4.5,75,2.225,0.449783682
4.5,75,2.3125,0.449740197
